index,contact,day,month,duration
0,unknown,5,may,261.0
1,cellular,28,jul,57.0
2,cellular,28,jul,110.0
3,cellular,28,jul,52.0
4,cellular,20,apr,249.0
5,cellular,27,may,82.0
6,cellular,20,nov,283.0
7,cellular,20,apr,211.0
8,cellular,28,jul,243.0
9,cellular,20,apr,104.0
10,cellular,28,jul,52.0
11,cellular,28,jul,177.0
12,cellular,28,jul,33.0
13,cellular,25,jul,153.0
14,cellular,28,jul,40.0
15,telephone,28,jul,63.0
16,cellular,20,nov,207.0
17,cellular,28,jul,29.0
18,cellular,28,jul,147.0
19,cellular,20,nov,56.0
20,cellular,28,jul,102.0
21,cellular,20,nov,319.0
22,cellular,28,jul,151.0
23,cellular,25,jul,190.0
24,cellular,20,apr,63.0
25,cellular,20,nov,303.0
26,cellular,20,nov,264.0
27,telephone,28,jul,62.0
28,cellular,20,nov,75.0
29,cellular,28,jul,76.0
30,cellular,20,nov,155.0
31,cellular,27,may,281.0
32,telephone,20,apr,87.0
33,cellular,28,jul,93.0
34,cellular,20,nov,167.0
35,cellular,28,jul,458.0
36,cellular,20,nov,564.0
37,cellular,28,jul,386.0
38,cellular,28,jul,62.0
39,cellular,20,nov,268.0
40,telephone,20,nov,16.0
41,cellular,28,jul,36.0
42,cellular,27,may,113.0
43,cellular,28,jul,334.0
44,cellular,20,nov,533.0
45,cellular,28,jul,119.0
46,telephone,28,jul,29.0
47,cellular,28,jul,95.0
48,cellular,28,jul,327.0
49,cellular,20,nov,57.0
50,cellular,25,jul,524.0
51,cellular,25,jul,22.0
52,cellular,27,may,223.0
53,cellular,25,jul,148.0
54,cellular,27,may,76.0
55,cellular,20,nov,235.0
56,telephone,25,jul,279.0
57,cellular,25,jul,400.0
58,cellular,25,jul,87.0
59,cellular,25,jul,126.0
60,cellular,20,nov,1532.0
61,cellular,27,may,89.0
62,cellular,27,may,99.0
63,cellular,20,apr,
64,cellular,20,apr,82.0
65,cellular,25,jul,53.0
66,cellular,27,may,99.0
67,cellular,25,jul,85.0
68,cellular,25,jul,124.0
69,cellular,25,jul,67.0
