index,campaign,pdays,pdays_d,previous,poutcome,y
0,1,-1,-1,0,unknown,no
1,5,-1,-1,0,unknown,no
2,18,-1,-1,0,unknown,no
3,11,-1,-1,0,unknown,no
4,2,-1,-1,0,unknown,no
5,2,309,309,1,failure,no
6,2,189,189,2,other,no
7,2,152,152,2,failure,no
8,31,-1,-1,0,unknown,no
9,1,-1,-1,0,unknown,no
10,7,-1,-1,0,unknown,no
11,18,-1,-1,0,unknown,no
12,3,-1,-1,0,unknown,no
13,2,-1,-1,0,unknown,no
14,4,-1,-1,0,unknown,no
15,6,-1,-1,0,unknown,no
16,1,-1,-1,0,unknown,no
17,13,-1,-1,0,unknown,no
18,3,-1,-1,0,unknown,no
19,4,-1,-1,0,unknown,no
20,7,-1,-1,0,unknown,no
21,1,100,100,2,failure,no
22,3,-1,-1,0,unknown,no
23,4,-1,-1,0,unknown,no
24,4,-1,-1,0,unknown,no
25,4,-1,-1,0,unknown,no
26,1,-1,-1,0,unknown,no
27,8,-1,-1,0,unknown,no
28,2,-1,-1,0,unknown,no
29,3,-1,-1,0,unknown,no
30,1,-1,-1,0,unknown,no
31,4,188,188,1,failure,yes
32,1,322,322,1,failure,no
33,11,-1,-1,0,unknown,no
34,1,-1,-1,0,unknown,no
35,7,-1,-1,0,unknown,yes
36,2,183,183,1,failure,no
37,4,-1,-1,0,unknown,no
38,3,-1,-1,0,unknown,no
39,1,-1,-1,0,unknown,no
40,1,-1,-1,0,unknown,no
41,5,-1,-1,0,unknown,no
42,1,-1,-1,0,unknown,no
43,8,-1,-1,0,unknown,no
44,2,-1,-1,0,unknown,no
45,4,-1,-1,0,unknown,no
46,8,-1,-1,0,unknown,no
47,3,-1,-1,0,unknown,no
48,3,-1,-1,0,unknown,no
49,3,-1,-1,0,unknown,no
50,10,-1,-1,0,unknown,no
51,16,-1,-1,0,unknown,no
52,3,89,89,2,failure,yes
53,4,-1,-1,0,unknown,no
54,2,-1,-1,0,unknown,no
55,3,-1,-1,0,unknown,no
56,4,-1,-1,0,unknown,yes
57,2,-1,-1,0,unknown,no
58,4,-1,-1,0,unknown,no
59,3,-1,-1,0,unknown,no
60,3,-1,-1,0,unknown,yes
61,4,310,310,5,failure,no
62,2,-1,-1,0,unknown,no
63,3,284,284,1,failure,no
64,1,-1,-1,0,unknown,no
65,4,-1,-1,0,unknown,no
66,2,99,99,1,success,no
67,3,-1,-1,0,unknown,no
68,2,-1,-1,0,unknown,no
69,3,-1,-1,0,unknown,no
70,2,-1,-1,0,unknown,no
71,3,-1,-1,0,unknown,no
72,3,-1,-1,0,unknown,yes
73,10,-1,-1,0,unknown,no
74,4,-1,-1,0,unknown,no
75,7,-1,-1,0,unknown,no
76,2,-1,-1,0,unknown,yes
77,5,-1,-1,0,unknown,no
78,9,-1,-1,0,unknown,no
79,3,-1,-1,0,unknown,no
80,1,-1,-1,0,unknown,no
81,16,-1,-1,0,unknown,no
82,8,-1,-1,0,unknown,no
83,4,-1,-1,0,unknown,no
84,5,-1,-1,0,unknown,no
85,3,151,151,4,failure,no
86,9,-1,-1,0,unknown,yes
87,3,-1,-1,0,unknown,no
88,14,-1,-1,0,unknown,no
89,2,112,112,3,other,no
90,2,-1,-1,0,unknown,no
91,2,-1,-1,0,unknown,no
92,5,-1,-1,0,unknown,no
93,2,-1,-1,0,unknown,no
94,4,-1,-1,0,unknown,no
95,2,-1,-1,0,unknown,no
96,3,-1,-1,0,unknown,no
97,1,-1,-1,0,unknown,no
98,2,-1,-1,0,unknown,no
99,6,-1,-1,0,unknown,no
100,3,-1,-1,0,unknown,no
101,3,-1,-1,0,unknown,no
102,2,-1,-1,0,unknown,no
103,2,-1,-1,0,unknown,no
104,4,-1,-1,0,unknown,no
105,2,-1,-1,0,unknown,no
106,2,-1,-1,0,unknown,no
107,2,-1,-1,0,unknown,no
108,1,-1,-1,0,unknown,no
109,2,-1,-1,0,unknown,no
110,2,-1,-1,0,unknown,no
111,2,-1,-1,0,unknown,no
112,2,183,183,1,failure,no
113,1,-1,-1,0,unknown,no
114,2,-1,-1,0,unknown,yes
115,2,-1,-1,0,unknown,no
116,3,-1,-1,0,unknown,no
117,5,-1,-1,0,unknown,no
118,2,-1,-1,0,unknown,no
119,2,-1,-1,0,unknown,no
120,2,-1,-1,0,unknown,no
121,2,-1,-1,0,unknown,no
122,2,-1,-1,0,unknown,no
123,2,-1,-1,0,unknown,no
124,2,162,162,3,failure,no
125,3,-1,-1,0,unknown,no
126,2,-1,-1,0,unknown,no
127,2,-1,-1,0,unknown,no
128,4,189,189,2,failure,no
129,2,-1,-1,0,unknown,no
130,3,-1,-1,0,unknown,no
131,1,322,322,2,failure,no
132,10,-1,-1,0,unknown,no
133,2,-1,-1,0,unknown,no
134,2,-1,-1,0,unknown,no
135,3,-1,-1,0,unknown,no
136,3,320,320,2,other,no
137,3,279,279,5,other,no
138,5,-1,-1,0,unknown,no
139,5,-1,-1,0,unknown,no
140,5,-1,-1,0,unknown,no
141,2,-1,-1,0,unknown,no
142,2,-1,-1,0,unknown,no
143,2,-1,-1,0,unknown,no
144,2,-1,-1,0,unknown,no
145,3,-1,-1,0,unknown,no
146,2,184,184,3,other,no
147,4,-1,-1,0,unknown,no
148,2,-1,-1,0,unknown,no
149,2,181,181,5,other,no
150,5,-1,-1,0,unknown,no
151,8,-1,-1,0,unknown,yes
152,2,-1,-1,0,unknown,yes
153,3,-1,-1,0,unknown,no
154,3,-1,-1,0,unknown,no
155,2,41,41,5,success,no
156,1,-1,-1,0,unknown,no
157,3,-1,-1,0,unknown,no
