특성별(1),특성별(2),2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
특성별(1),특성별(2),일 중시 VS 여가 중시,일 중시 VS 여가 중시,일 중시 VS 여가 중시,일 중시 VS 여가 중시,일 중시 VS 여가 중시,일 중시 VS 여가 중시,일 중시 VS 여가 중시,현실 중시 VS 이상 중시,현실 중시 VS 이상 중시,현실 중시 VS 이상 중시,현실 중시 VS 이상 중시,현실 중시 VS 이상 중시,현실 중시 VS 이상 중시,현실 중시 VS 이상 중시,결과 중시 VS 과정 중시,결과 중시 VS 과정 중시,결과 중시 VS 과정 중시,결과 중시 VS 과정 중시,결과 중시 VS 과정 중시,결과 중시 VS 과정 중시,결과 중시 VS 과정 중시,개인 중시 VS 집단 중시,개인 중시 VS 집단 중시,개인 중시 VS 집단 중시,개인 중시 VS 집단 중시,개인 중시 VS 집단 중시,개인 중시 VS 집단 중시,개인 중시 VS 집단 중시,일 중시 VS 여가 중시,일 중시 VS 여가 중시,일 중시 VS 여가 중시,일 중시 VS 여가 중시,일 중시 VS 여가 중시,일 중시 VS 여가 중시,일 중시 VS 여가 중시,현실 중시 VS 이상 중시,현실 중시 VS 이상 중시,현실 중시 VS 이상 중시,현실 중시 VS 이상 중시,현실 중시 VS 이상 중시,현실 중시 VS 이상 중시,현실 중시 VS 이상 중시,결과 중시 VS 과정 중시,결과 중시 VS 과정 중시,결과 중시 VS 과정 중시,결과 중시 VS 과정 중시,결과 중시 VS 과정 중시,결과 중시 VS 과정 중시,결과 중시 VS 과정 중시,개인 중시 VS 집단 중시,개인 중시 VS 집단 중시,개인 중시 VS 집단 중시,개인 중시 VS 집단 중시,개인 중시 VS 집단 중시,개인 중시 VS 집단 중시,개인 중시 VS 집단 중시,일 중시 VS 여가 중시,일 중시 VS 여가 중시,일 중시 VS 여가 중시,일 중시 VS 여가 중시,일 중시 VS 여가 중시,일 중시 VS 여가 중시,일 중시 VS 여가 중시,현실 중시 VS 이상 중시,현실 중시 VS 이상 중시,현실 중시 VS 이상 중시,현실 중시 VS 이상 중시,현실 중시 VS 이상 중시,현실 중시 VS 이상 중시,현실 중시 VS 이상 중시,결과 중시 VS 과정 중시,결과 중시 VS 과정 중시,결과 중시 VS 과정 중시,결과 중시 VS 과정 중시,결과 중시 VS 과정 중시,결과 중시 VS 과정 중시,결과 중시 VS 과정 중시,개인 중시 VS 집단 중시,개인 중시 VS 집단 중시,개인 중시 VS 집단 중시,개인 중시 VS 집단 중시,개인 중시 VS 집단 중시,개인 중시 VS 집단 중시,개인 중시 VS 집단 중시,일 중시 VS 여가 중시,일 중시 VS 여가 중시,일 중시 VS 여가 중시,일 중시 VS 여가 중시,일 중시 VS 여가 중시,일 중시 VS 여가 중시,일 중시 VS 여가 중시,현실 중시 VS 이상 중시,현실 중시 VS 이상 중시,현실 중시 VS 이상 중시,현실 중시 VS 이상 중시,현실 중시 VS 이상 중시,현실 중시 VS 이상 중시,현실 중시 VS 이상 중시,결과 중시 VS 과정 중시,결과 중시 VS 과정 중시,결과 중시 VS 과정 중시,결과 중시 VS 과정 중시,결과 중시 VS 과정 중시,결과 중시 VS 과정 중시,결과 중시 VS 과정 중시,개인 중시 VS 집단 중시,개인 중시 VS 집단 중시,개인 중시 VS 집단 중시,개인 중시 VS 집단 중시,개인 중시 VS 집단 중시,개인 중시 VS 집단 중시,개인 중시 VS 집단 중시
특성별(1),특성별(2),일을 매우 더 중시함,일을 더 중시함,일을 약간 더 중시함,일과 여가 차이 없음,여가를 약간 더 중시함,여가를 더 중시함,여가를 매우 더 중시함,현실을 매우 더 중시함,현실을 더 중시함,현실을 약간 더 중시함,현실과 이상 차이 없음,이상을 약간 더 중시함,이상을 더 중시함,이상을 매우 더 중시함,결과를 매우 더 중시함,결과를 더 중시함,결과를 약간 더 중시함,결과와 과정 차이 없음,과정을 약간 더 중시함,과정을 더 중시함,과정을 매우 더 중시함,개인을 매우 더 중시함,개인을 더 중시함,개인을 약간 더 중시함,개인과 집단 차이 없음,집단을 약간 더 중시함,집단을 더 중시함,집단을 매우 더 중시함,일을 매우 더 중시함,일을 더 중시함,일을 약간 더 중시함,일과 여가 차이 없음,여가를 약간 더 중시함,여가를 더 중시함,여가를 매우 더 중시함,현실을 매우 더 중시함,현실을 더 중시함,현실을 약간 더 중시함,현실과 이상 차이 없음,이상을 약간 더 중시함,이상을 더 중시함,이상을 매우 더 중시함,결과를 매우 더 중시함,결과를 더 중시함,결과를 약간 더 중시함,결과와 과정 차이 없음,과정을 약간 더 중시함,과정을 더 중시함,과정을 매우 더 중시함,개인을 매우 더 중시함,개인을 더 중시함,개인을 약간 더 중시함,개인과 집단 차이 없음,집단을 약간 더 중시함,집단을 더 중시함,집단을 매우 더 중시함,일을 매우 더 중시함,일을 더 중시함,일을 약간 더 중시함,일과 여가 차이 없음,여가를 약간 더 중시함,여가를 더 중시함,여가를 매우 더 중시함,현실을 매우 더 중시함,현실을 더 중시함,현실을 약간 더 중시함,현실과 이상 차이 없음,이상을 약간 더 중시함,이상을 더 중시함,이상을 매우 더 중시함,결과를 매우 더 중시함,결과를 더 중시함,결과를 약간 더 중시함,결과와 과정 차이 없음,과정을 약간 더 중시함,과정을 더 중시함,과정을 매우 더 중시함,개인을 매우 더 중시함,개인을 더 중시함,개인을 약간 더 중시함,개인과 집단 차이 없음,집단을 약간 더 중시함,집단을 더 중시함,집단을 매우 더 중시함,일을 매우 더 중시함,일을 더 중시함,일을 약간 더 중시함,일과 여가 차이 없음,여가를 약간 더 중시함,여가를 더 중시함,여가를 매우 더 중시함,현실을 매우 더 중시함,현실을 더 중시함,현실을 약간 더 중시함,현실과 이상 차이 없음,이상을 약간 더 중시함,이상을 더 중시함,이상을 매우 더 중시함,결과를 매우 더 중시함,결과를 더 중시함,결과를 약간 더 중시함,결과와 과정 차이 없음,과정을 약간 더 중시함,과정을 더 중시함,과정을 매우 더 중시함,개인을 매우 더 중시함,개인을 더 중시함,개인을 약간 더 중시함,개인과 집단 차이 없음,집단을 약간 더 중시함,집단을 더 중시함,집단을 매우 더 중시함
전체,소계,3.4,13.4,15.2,24.6,19.5,19.5,4.5,11.6,30.8,23.9,18.6,7.8,5.9,1.4,8.7,22.9,20.1,24.7,12,9,2.6,4,14,20.3,36.5,13.3,9.5,2.4,1.1,12.2,17.7,23.4,25.8,18.3,1.5,6.5,20.7,34.2,22.2,11.8,4.4,0.2,4,17.4,29.8,26.7,17.6,4.3,0.2,1.8,12.2,24.5,36.5,17.7,6.1,1.2,2.1,13.5,12.6,27.2,24,17.6,3,10.6,32.7,26.9,18.3,6.8,3.7,1.1,8.7,24.1,21.1,25.5,12,6.9,1.8,3.8,14.5,22.5,36.6,13.4,7.4,1.9,1.8,10.8,12.9,26.7,25.3,17.9,4.6,9.2,31.4,28.2,17.1,8.8,4.4,0.9,7.9,22.1,25.2,23,12.4,7.7,1.7,5.4,14.2,23.8,34.2,13.9,7.1,1.4
성별,남자,4.1,15.8,16.9,22.8,17.3,18.6,4.5,12.8,30.6,24.6,16.9,7.6,6,1.5,9.9,23.5,20.6,22.8,11.8,8.4,3.1,4.1,13.4,19.5,36.5,12.1,11.7,2.7,1.1,14.8,19.5,22.7,23.6,17.5,0.8,6.4,21.6,34.2,21.7,11.2,4.8,0.2,4.9,16.5,30.4,27.2,16.4,4.3,0.3,1.1,12.3,24.9,37.2,17.8,5.7,1.2,2.4,16.3,13.5,27.5,22.7,15.1,2.5,11.2,32.5,25.3,19.1,6.6,4.4,0.9,9.4,25.2,22.4,24.2,10.6,6.3,1.9,3.7,14.4,21.7,35.3,14.6,8.5,1.7,2.2,13.8,13.1,27,23,16.5,4.3,9.8,32.4,27.8,16.6,7.6,4.9,0.9,8.6,23.9,24.6,21.7,11.6,7.6,2.1,4.8,14.7,23.9,33.4,13.7,8,1.6
성별,여자,2.6,10.6,13.2,26.7,21.9,20.5,4.5,10.4,31.1,23.2,20.4,7.9,5.7,1.3,7.3,22.3,19.6,26.8,12.2,9.8,2.1,3.8,14.7,21.1,36.6,14.7,7,2.2,1,9.5,15.7,24.2,28.2,19.2,2.2,6.7,19.8,34.2,22.7,12.4,4,0.2,3,18.3,29.2,26.1,18.9,4.3,0.1,2.7,12.2,24.1,35.7,17.6,6.5,1.1,1.8,10.3,11.6,27,25.4,20.4,3.5,9.9,32.9,28.7,17.3,7.1,2.8,1.3,7.9,22.9,19.6,27,13.4,7.5,1.6,3.8,14.6,23.3,38,12,6.3,2,1.3,7.4,12.8,26.5,27.8,19.5,4.9,8.6,30.3,28.6,17.7,10.2,3.8,0.8,7.2,20.1,25.8,24.5,13.3,7.7,1.4,6,13.7,23.6,35.1,14.2,6.2,1.2
연령별,만15-18세,1.8,7.9,12.6,27.4,22.4,23.6,4.3,8.9,28.3,27.3,19.5,8.3,5.7,2,5.8,20.5,21.5,24.6,12.2,11.6,3.8,3.2,10.2,20.4,36.6,12.2,11.6,5.8,0.7,9.3,13.3,20.6,31.2,23.8,1.1,4.5,17.1,36.2,23,14.3,4.4,0.5,2.4,20.5,26,26.2,17.3,7,0.5,2.2,16.1,26,35.1,12.9,6.1,1.5,0.4,9.2,9.4,26.7,28.9,21.7,3.7,8,33.3,26.5,19.5,7.9,3.6,1.3,8.1,23,17.7,25.1,11.8,10.7,3.6,4.4,16.3,17.7,35.1,13.1,11,2.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
연령별,만19-29세,3.9,12.8,15.3,24.5,21,18.5,3.9,13,28.7,24.5,17.5,8.8,6.4,1.1,10.4,22.1,20.8,24.4,11.3,8.7,2.4,4.5,13.7,20.2,37.4,12.6,9.5,2.1,0.7,9.9,18.1,25.5,26.2,18,1.6,5.5,22.6,33,21.1,13.9,3.9,0.1,4.7,16.9,31.4,25.3,16.6,4.8,0.2,1.4,11.2,24.6,37.2,18.4,6.1,1.1,1.3,13.6,12.8,27.1,25.2,16.8,3.2,10,32.2,28.6,16.4,7.8,3.7,1.3,8.2,24.5,22,25,12.7,6,1.7,4,14,24,35.3,13.7,7.2,1.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
연령별,만30-39세,3.3,15.6,15.7,23.9,17.1,19.2,5.2,11,33.7,22.4,19.4,6.5,5.4,1.6,7.8,24.5,19,25.1,12.5,8.7,2.4,3.6,15.5,20.3,35.7,14.3,8.8,1.8,1.5,15.1,18.8,22.5,23.8,16.9,1.5,7.9,20.3,34.6,22.8,9.3,4.9,0.2,3.9,16.8,29.7,28,18.4,3.1,0.1,2.1,12,24,36.2,18.6,6.1,1.1,3.4,14.6,13.4,27.5,21.3,17.3,2.5,11.9,33.1,25.3,19.8,5.5,3.7,0.8,9.4,24,21.1,26.2,11.3,6.6,1.3,3.4,14.5,22.3,38.3,13.2,6.6,1.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
연령별,만18-19세,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.7,5,8.9,28.8,30.5,23.3,2.8,7.5,30.1,25.6,18.5,11.8,5.1,1.5,5.4,23.5,22.7,22.5,15,9.4,1.5,6.2,14.4,21.7,32.8,16.3,7.3,1.3
